gender,age,occupation,zip_code,user_id
M,25,4,22030,1243
M,25,17,80461,1244
M,18,4,98225,1245
M,35,0,92649,1246
F,35,20,94598,1247
M,35,2,94587,1248
M,50,0,10573,1249
M,25,7,48188,1250
M,56,13,94134,1251
F,35,20,76205,1252
F,18,1,02144,1253
M,25,17,94110,1254
M,25,20,10002,1255
F,18,14,84101,1256
M,45,7,20879,1257
M,35,7,2020010,1258
M,25,17,28262,1259
M,18,4,40205,1260
M,25,4,22903,1261
M,1,10,81301,1262
M,25,1,53711,1263
F,18,20,49321,1264
M,25,4,18104,1265
M,25,15,12203,1266
M,50,2,10028,1267
F,56,13,01234,1268
M,25,6,12230,1269
F,45,6,54401,1270
M,18,20,49506,1271
M,35,2,19123,1272
M,45,7,37343,1273
M,50,17,39567,1274
M,35,17,94041,1275
F,18,0,06360,1276
M,18,4,98312,1277
M,35,1,98502,1278
M,1,10,97801,1279
M,25,19,97209,1280
M,50,1,98541,1281
F,18,1,94607,1282
M,45,16,33334,1283
M,35,4,98125,1284
M,35,17,92630,1285
F,50,7,94611,1286
F,35,19,92867,1287
M,45,6,78750,1288
M,35,0,91504,1289
F,35,0,10011,1290
M,25,7,94904,1291
M,25,5,60074,1292
F,50,20,11217,1293
F,35,6,90036,1294
M,1,0,75244,1295
M,25,7,92109,1296
M,35,6,33615,1297
M,25,14,02038,1298
M,1,10,97201,1299
F,25,2,10475,1300
M,18,4,85282,1301
M,25,19,94111,1302
M,25,14,97203,1303
M,45,20,94121,1304
M,25,3,64068,1305
M,56,13,75703,1306
M,1,10,75082,1307
M,25,14,76051,1308
M,45,0,92866,1309
M,18,10,90274,1310
M,25,14,60153,1311
M,18,4,43214,1312
F,18,4,68154,1313
M,35,7,75214,1314
M,50,2,50310,1315
M,45,7,98028,1316
M,18,16,94014,1317
F,25,3,98626,1318
M,25,4,22030,1319
F,25,14,34639,1320
M,56,0,94043,1321
F,35,2,11218,1322
M,35,16,07030,1323
M,25,1,75230,1324
F,25,0,98115,1325
M,1,10,12159,1326
M,35,14,60657,1327
M,18,14,60194,1328
M,56,1,95117,1329
M,45,0,12065,1330
M,25,7,02840,1331
M,25,17,06460,1332
M,50,7,10805,1333
M,35,0,14228,1334
F,50,20,95051,1335
M,56,17,97146,1336
M,25,0,94108,1337
M,35,18,85275,1338
M,25,7,14302,1339
M,18,7,11434,1340
M,35,0,94560,1341
M,35,14,91324,1342
F,25,9,43420,1343
F,25,2,75070,1344
M,35,20,27607,1345
F,18,1,11375,1346
F,1,10,04240,1347
M,50,7,13088,1348
F,35,0,90278,1349
F,25,17,98034,1350
M,35,20,94122,1351
M,1,10,95926,1352
F,25,2,94040,1353
F,45,20,04240,1354
F,18,4,91706,1355
M,45,0,34116,1356
M,35,17,49508,1357
M,35,1,10918,1358
M,25,20,14895,1359
F,25,0,97401,1360
M,35,12,75069,1361
M,50,7,01915,1362
F,45,2,97214,1363
F,1,10,61665,1364
M,1,10,89509,1365
M,25,12,53707,1366
F,25,3,50266,1367
M,25,5,12308,1368
M,35,2,92821,1369
F,50,2,60657,1370
M,1,10,95123,1371
F,25,1,55104,1372
M,50,1,91403,1373
F,45,5,95136,1374
F,45,1,32750,1375
M,35,16,65270,1376
F,45,7,21044,1377
F,56,13,93448,1378
M,1,10,58078,1379
M,18,11,89170,1380
F,45,1,92100,1381
F,25,7,19806,1382
M,18,10,98058,1383
F,25,5,90262,1384
F,25,0,07026,1385
F,50,13,94702,1386
M,56,20,87107,1387
M,25,17,19801,1388
M,35,16,99352,1389
M,35,15,20723,1390
M,45,3,90006,1391
M,18,4,06430,1392
F,25,3,94117,1393
M,25,2,07026,1394
F,25,12,94530,1395
M,35,7,55901,1396
F,56,16,94904,1397
M,18,17,10804,1398
M,25,7,92130,1399
F,18,1,94578,1400
M,18,4,90601,1401
F,25,0,53713,1402
M,50,16,91360,1403
M,56,13,33445,1404
M,25,4,91911,1405
F,35,15,53704,1406
M,25,0,90046,1407
M,18,4,97215,1408
M,50,7,94404,1409
M,35,1,08107,1410
M,25,17,94089,1411
M,18,3,98122,1412
M,18,4,85035,1413
M,45,14,22901,1414
M,25,14,98101,1415
M,35,16,10472,1416
M,18,4,48197,1417
F,25,1,95336,1418
M,18,4,01375,1419
F,1,10,53704,1420
M,35,17,55934,1421
M,25,4,08540,1422
M,35,0,28209,1423
M,1,10,08872,1424
M,18,14,94070,1425
M,25,12,21401,1426
F,45,11,40204,1427
F,35,3,11229,1428
M,18,4,97215,1429
M,56,6,91011,1430
M,35,1,94549,1431
F,18,14,49505,1432
F,1,10,495321,1433
M,25,14,48103,1434
F,50,6,97005,1435
M,50,3,89102,1436
M,18,2,21222,1437
M,35,3,98037,1438
M,35,12,94520,1439
M,35,16,54729,1440
M,18,2,12345,1441
M,35,2,98055,1442
F,25,4,91106,1443
M,25,2,98109,1444
M,35,12,10128,1445
M,18,4,80521,1446
F,25,3,17522,1447
M,35,20,17112,1448
M,18,4,94704,1449
M,35,20,90012,1450
F,56,13,90732,1451
M,25,14,19444,1452
M,18,4,93117,1453
F,45,0,92126,1454
M,25,2,98074,1455
M,25,1,95472,1456
M,1,0,08055,1457
F,25,0,80027,1458
F,18,4,95132,1459
F,45,0,94115,1460
M,35,16,95405,1461
M,50,16,92612-3417,1462
M,35,12,75063,1463
M,50,16,93003,1464
M,18,4,29201,1465
M,25,5,97007,1466
M,1,14,19147,1467
M,56,20,95420,1468
M,18,4,94118,1469
M,25,17,11106,1470
M,25,7,90248,1471
M,25,14,06511,1472
M,25,4,98115,1473
F,25,2,75075,1474
F,18,0,91030,1475
F,45,1,90601,1476
M,1,10,92620,1477
F,50,2,94501,1478
M,25,20,91367,1479
M,35,17,77096,1480
M,25,7,94132,1481
M,18,4,54481,1482
M,25,12,07054,1483
F,25,9,80538,1484
M,25,16,90638,1485
M,35,7,07644,1486
M,25,7,94538,1487
F,35,2,60201,1488
M,50,7,90505,1489
M,18,4,06511,1490
M,25,12,98102,1491
F,25,14,60657,1492
M,25,17,38104,1493
M,18,0,77341,1494
M,25,17,94108,1495
M,50,5,80220,1496
M,18,4,02139,1497
M,1,10,19343,1498
M,25,17,98115,1499
M,25,11,75801,1500
M,18,4,12188,1501
M,25,12,92688,1502
M,18,19,22030,1503
M,50,11,90041,1504
M,25,7,08550,1505
M,35,17,95476,1506
F,1,10,94539,1507
M,1,0,11803,1508
F,25,1,48067,1509
M,35,12,08902,1510
M,25,20,11102,1511
F,35,16,95003,1512
M,18,4,97215,1513
M,25,16,48324,1514
F,25,12,53154,1515
M,18,0,10002,1516
M,25,2,95831,1517
M,18,4,38120,1518
M,25,17,94506,1519
F,25,7,08902,1520
M,35,20,10025,1521
M,25,17,95209,1522
M,18,4,06459,1523
F,25,16,94706,1524
M,56,17,80538,1525
M,18,10,78230,1526
M,25,15,94903,1527
M,18,4,97266,1528
M,25,4,53711,1529
M,45,17,60462,1530
M,18,14,43613,1531
M,45,1,71711,1532
M,50,12,12184,1533
F,18,20,90036,1534
F,35,3,83001,1535
M,18,20,02446,1536
M,25,3,22601,1537
M,25,3,02359,1538
M,45,0,97214,1539
M,56,17,23464-3016,1540
M,18,17,12054,1541
M,25,11,10549,1542
M,25,12,63146,1543
M,25,20,20009,1544
M,25,4,22903,1545
M,56,13,02115,1546
M,35,1,53703,1547
M,35,6,20901,1548
M,18,4,11580,1549
M,25,11,20008,1550
M,45,20,10021,1551
F,25,15,64116,1552
F,35,12,17013,1553
F,18,0,20008,1554
M,18,4,48073,1555
F,18,4,10039,1556
M,18,6,60611,1557
M,35,8,10014,1558
F,25,3,85226,1559
F,18,4,11214,1560
M,18,20,43611,1561
F,1,10,87123,1562
M,50,1,01096,1563
M,45,17,78731,1564
M,35,16,77550,1565
M,25,12,06511,1566
F,1,10,94086,1567
F,56,13,07701,1568
M,18,17,75093,1569
M,25,20,98033,1570
F,25,3,02155,1571
M,1,0,77479,1572
M,25,6,81007,1573
F,50,7,94949,1574
F,45,9,85202,1575
M,56,0,72227-5733,1576
M,18,4,22201,1577
M,25,0,60201,1578
F,18,4,76201,1579
F,18,4,10003,1580
M,18,0,10705,1581
M,35,6,94115,1582
M,25,19,45701,1583
M,56,20,92315,1584
M,45,7,77351,1585
F,25,3,30308,1586
M,25,11,22043,1587
M,25,0,95136,1588
M,35,1,95003,1589
M,50,7,26501,1590
M,35,7,50111,1591
M,25,16,78411,1592
F,35,20,10013,1593
M,35,1,92683-1892,1594
F,18,5,48108,1595
M,25,12,10002,1596
M,35,13,76548,1597
M,25,0,92646,1598
M,35,7,08234,1599
M,25,12,83001,1600
F,25,7,10562,1601
F,25,0,13326,1602
M,25,11,50111,1603
F,18,0,28270,1604
F,35,3,55405,1605
M,45,1,02135,1606
M,25,11,75230,1607
F,35,9,06830,1608
M,25,11,55555,1609
M,25,0,03867,1610
M,25,17,11354,1611
M,18,20,61801,1612
M,35,0,90027,1613
F,45,7,10022,1614
M,25,0,16101,1615
M,25,12,44060,1616
M,50,0,44139,1617
M,50,3,48843,1618
M,25,20,48009,1619
M,25,4,11423,1620
M,18,4,53715,1621
M,50,15,07746,1622
M,25,0,06810,1623
M,45,0,04330,1624
M,18,4,10010,1625
M,18,17,91505,1626
M,18,20,90028,1627
M,18,4,10003,1628
M,45,17,91355,1629
F,50,0,94514,1630
M,25,16,94120,1631
F,45,7,99701,1632
F,56,0,38340,1633
M,25,0,97212,1634
F,25,19,60612,1635
M,56,0,90049,1636
F,18,17,95405,1637
M,25,17,95405,1638
M,35,17,95610,1639
M,25,0,95819,1640
M,50,13,62002,1641
M,45,2,90813,1642
M,18,12,90210,1643
F,18,9,62225,1644
M,25,20,90046,1645
M,18,18,98118,1646
M,50,14,85202,1647
M,18,19,98034,1648
M,25,19,94607,1649
M,25,12,94520,1650
M,25,16,98208,1651
M,18,0,94044,1652
F,45,0,94114,1653
M,18,4,94507,1654
M,25,17,94122,1655
F,45,0,10022,1656
F,35,6,94214,1657
F,18,9,99703,1658
F,25,2,94577,1659
M,35,7,80526,1660
M,25,12,94121,1661
M,18,4,77845,1662
F,18,4,76707,1663
M,45,17,87505,1664
M,25,14,15241,1665
M,50,16,98516,1666
M,35,2,95602,1667
F,25,17,75006,1668
F,56,13,95320,1669
M,35,0,98368,1670
M,25,17,93933,1671
M,1,10,98043-3621,1672
M,35,2,95816,1673
F,25,6,97116,1674
M,18,4,91301,1675
M,18,14,97123,1676
F,18,17,97070,1677
M,25,12,98052,1678
M,25,20,95380,1679
M,18,4,78705,1680
M,25,2,98102,1681
F,25,7,98109,1682
M,18,3,85226,1683
M,35,12,95833,1684
M,35,12,94062,1685
M,25,3,85013,1686
F,18,4,34243,1687
M,35,5,98465,1688
M,35,16,98029,1689
F,25,17,85301,1690
M,35,20,97333,1691
M,25,12,98684,1692
M,25,12,98116,1693
M,25,1,97206,1694
M,35,7,95765,1695
F,18,4,98052,1696
M,35,2,97214,1697
F,25,19,98102,1698
M,25,20,98119,1699
F,25,4,97233,1700
M,18,10,97303,1701
M,18,15,77047,1702
M,25,4,98926,1703
F,18,4,85033,1704
M,25,20,19134,1705
M,50,1,95070,1706
M,25,0,64106,1707
M,25,0,73147,1708
M,18,0,94530,1709
F,18,4,30134,1710
M,25,0,73003,1711
M,25,0,47421,1712
M,25,17,43212,1713
M,25,16,53406,1714
M,25,0,43229,1715
F,50,6,30307,1716
M,18,4,43235,1717
M,18,16,60523,1718
M,18,4,94720,1719
M,18,19,70043,1720
M,35,0,72058,1721
M,35,17,60103,1722
M,18,4,00961,1723
M,18,19,67218,1724
M,25,2,60160,1725
M,35,16,50317,1726
M,18,4,11710-1641,1727
M,25,7,53715,1728
F,18,4,60137,1729
F,18,0,91601,1730
M,18,4,13655,1731
M,18,14,43725,1732
M,45,17,94602,1733
M,18,20,30605,1734
M,56,8,00606,1735
M,35,20,46614,1736
M,35,16,30034,1737
M,56,16,77079,1738
M,56,1,96153,1739
M,35,7,91107,1740
M,25,15,08109,1741
M,35,17,77566,1742
M,35,12,50325,1743
M,45,0,94114,1744
M,25,4,33157,1745
M,25,0,90638,1746
M,50,1,04240,1747
M,25,2,10040,1748
M,50,5,10128,1749
M,35,20,77024,1750
M,25,3,96813,1751
M,35,6,90803,1752
M,18,19,27028,1753
F,18,4,77005,1754
F,25,1,75149,1755
M,25,4,75206,1756
F,25,0,33067-1400,1757
M,25,16,22112,1758
F,25,3,90016,1759
M,35,0,72058,1760
M,25,14,75230,1761
M,35,7,76248,1762
M,18,0,75149,1763
M,18,4,13655,1764
F,45,0,94566,1765
M,25,20,75205,1766
M,45,16,75067,1767
M,25,17,75240,1768
M,35,16,79605,1769
M,25,17,75044,1770
M,56,2,90680,1771
M,18,4,07030,1772
M,25,17,99003,1773
M,25,4,70115,1774
M,25,0,45801,1775
M,25,20,17022,1776
M,18,4,94704,1777
M,18,1,78133,1778
M,35,1,22181,1779
F,35,0,08009,1780
M,45,0,23454,1781
M,18,4,10027,1782
M,18,20,18104,1783
M,18,4,04901,1784
M,45,1,85721,1785
M,18,8,90210,1786
M,45,2,19104,1787
M,1,10,19116,1788
M,25,0,19152,1789
M,18,4,19146,1790
F,25,2,53523,1791
M,25,4,20008,1792
M,25,11,20878,1793
M,18,17,20724,1794
M,50,11,20852,1795
M,35,7,52003,1796
M,45,11,22204,1797
M,35,11,70118,1798
M,18,4,70118,1799
F,25,6,54729,1800
M,18,4,22903,1801
M,25,2,50021,1802
M,25,7,22314,1803
M,18,4,22401,1804
M,18,4,22032,1805
M,18,17,20742,1806
F,18,4,22031,1807
F,25,14,12189,1808
M,50,13,90210,1809
M,56,2,08825,1810
F,25,12,48103,1811
F,35,6,90035,1812
M,50,7,10014,1813
M,1,1,30707,1814
F,35,9,56007,1815
M,35,1,53706,1816
M,1,8,02254,1817
F,35,12,45249,1818
M,25,20,50265,1819
M,25,20,43315,1820
F,25,0,53713,1821
F,35,1,92801,1822
F,18,4,43560,1823
M,25,7,50310,1824
M,45,11,49265,1825
F,25,1,07721,1826
M,18,4,07030,1827
M,25,16,07302,1828
M,18,4,12180,1829
M,18,4,53190,1830
F,18,4,14433,1831
M,18,17,07030,1832
M,35,5,10990,1833
M,25,19,11501,1834
M,25,0,10016,1835
M,25,2,08817,1836
M,35,7,10011,1837
M,18,4,07940,1838
M,25,12,11217,1839
M,18,0,95037,1840
M,18,4,53190,1841
M,25,12,10014,1842
F,18,4,53711,1843
M,25,2,10002,1844
M,45,12,95051,1845
M,18,4,60047,1846
M,35,5,10011,1847
M,35,7,11747,1848
M,18,5,12582,1849
M,25,19,59602,1850
M,25,12,10036,1851
M,50,0,90803,1852
M,25,0,92346,1853
M,18,4,93004,1854
M,56,7,92065,1855
M,1,10,92106,1856
F,18,4,59715,1857
F,25,4,66049,1858
M,56,16,94591,1859
M,50,16,92129,1860
M,50,14,95129,1861
M,18,4,90048,1862
M,35,7,94306,1863
F,18,1,94606,1864
M,25,7,94043,1865
M,50,7,95008,1866
M,50,11,92346,1867
M,45,14,95148,1868
M,56,13,85248,1869
F,45,1,46774,1870
M,50,20,92106,1871
M,35,7,02127,1872
M,45,7,95076,1873
M,35,12,94107,1874
M,25,12,92024,1875
F,45,20,90069,1876
M,1,10,92846,1877
M,25,4,29732,1878
M,35,0,91006,1879
M,35,2,95008,1880
M,35,16,92352,1881
F,50,0,94521,1882
M,45,20,93108,1883
M,50,17,94611,1884
M,25,12,94086,1885
M,56,15,92119,1886
M,35,12,95124,1887
M,18,14,80023,1888
M,50,6,94702,1889
M,45,1,91335,1890
M,25,20,90066,1891
F,35,0,90024,1892
F,35,7,94602,1893
M,35,14,89119,1894
M,56,13,92115,1895
F,50,2,94530,1896
M,25,12,91101,1897
F,45,6,02135,1898
M,56,12,94109,1899
M,50,7,94024,1900
M,25,19,93536,1901
M,35,0,90401,1902
M,18,1,30115,1903
F,35,20,94118,1904
F,25,5,91311,1905
M,35,17,94804,1906
M,56,13,95129,1907
M,18,4,89146,1908
M,1,10,94707,1909
F,18,4,92805,1910
M,25,4,91325,1911
M,25,17,95126,1912
F,35,14,95051,1913
M,50,13,01938,1914
M,45,7,90405,1915
M,18,10,92704,1916
F,45,6,95209,1917
M,1,0,94525,1918
F,35,7,80122,1919
M,56,12,92780,1920
F,25,7,94303,1921
M,35,7,90026,1922
F,56,6,90630,1923
M,50,7,92886,1924
F,1,0,95404,1925
M,35,7,94806,1926
M,1,10,94501,1927
F,1,10,91107,1928
M,25,15,94550,1929
M,25,2,94114,1930
M,25,7,94114,1931
M,18,19,94703,1932
M,25,17,95014,1933
M,1,10,90405,1934
M,35,0,90026,1935
M,25,11,92335,1936
F,25,2,91351,1937
F,35,2,94930,1938
M,25,12,95158,1939
M,35,17,94550,1940
M,35,5,04901,1941
M,18,4,91501,1942
F,18,4,93107,1943
M,25,20,92866,1944
M,25,14,94110,1945
M,25,7,94041,1946
M,1,10,93111,1947
M,18,17,92595,1948
M,25,12,49024,1949
F,18,4,90630,1950
M,35,1,91030,1951
F,25,2,94566,1952
M,25,16,91402,1953
M,1,19,03109,1954
M,35,0,44280,1955
F,18,4,23185,1956
F,25,1,17055,1957
F,50,13,53092,1958
M,45,7,55555,1959
F,50,3,91911,1960
F,18,1,60914,1961
F,50,9,91941,1962
F,25,6,89523,1963
M,56,17,48304,1964
M,25,20,93637,1965
M,50,7,92116,1966
M,25,11,85258,1967
F,25,3,92116,1968
M,50,13,89052,1969
F,25,14,80230,1970
M,45,17,92111,1971
M,25,1,22903,1972
M,35,17,12159,1973
M,18,4,97361,1974
M,35,5,58703,1975
M,56,6,02726,1976
M,1,10,43357,1977
M,56,17,49506,1978
M,35,7,06460,1979
M,56,1,80303,1980
M,1,10,80540,1981
M,25,14,92109,1982
M,18,10,92130,1983
M,45,12,92122,1984
M,50,13,91977,1985
M,25,17,62629,1986
F,25,1,85224,1987
M,50,6,02090,1988
M,25,7,85257,1989
M,25,20,48309,1990
M,18,4,85259,1991
M,35,17,99508,1992
M,35,2,89012,1993
M,25,1,85364,1994
M,35,0,85621,1995
M,25,0,84108,1996
F,50,9,24018,1997
F,35,3,02113,1998
M,18,4,44685,1999
M,50,1,48197,2000
F,56,13,02136-1522,2001
M,1,10,80014,2002
M,45,19,53572,2003
M,18,4,58601,2004
M,35,0,66048,2005
M,50,16,80442,2006
M,25,3,48220,2007
F,35,7,60625,2008
M,18,4,81520,2009
F,35,3,01545,2010
M,25,4,49456,2011
M,45,0,60543,2012
M,18,4,53233,2013
M,18,4,01003,2014
F,56,2,20783,2015
M,25,17,35808,2016
M,35,16,46214,2017
M,50,1,27705,2018
M,25,7,45011,2019
M,25,0,61364,2020
M,25,7,60137,2021
M,18,4,56001,2022
M,1,19,06614,2023
M,56,13,03440,2024
M,50,16,49277,2025
F,25,9,48021,2026
M,45,6,44131,2027
F,25,12,10011,2028
M,25,4,77345,2029
M,35,20,60640,2030
M,50,14,44614,2031
F,45,20,91436,2032
F,45,2,01851,2033
F,18,0,45212,2034
F,25,14,90046,2035
M,56,14,02468,2036
F,45,1,33301,2037
M,50,16,60060,2038
F,25,7,02494,2039
F,25,20,24015,2040
M,1,10,79358,2041
M,25,14,37931,2042
F,45,0,49408,2043
F,1,0,24179,2044
M,35,1,91711,2045
M,1,10,06437,2046
M,50,6,49456,2047
F,50,0,13210,2048
F,35,3,99504,2049
M,35,7,93906,2050
M,1,10,46033,2051
M,45,11,06416,2052
M,25,12,03110,2053
M,50,11,49008,2054
M,25,4,56301,2055
M,35,1,49417,2056
F,56,1,06437,2057
M,35,0,44130,2058
M,1,1,48304,2059
M,56,1,44107,2060
M,18,4,44646,2061
M,25,4,43138,2062
M,35,1,01020,2063
M,25,6,46807,2064
F,25,6,53202,2065
M,50,16,06430,2066
F,35,12,43528,2067
M,56,15,79068,2068
F,35,6,13210,2069
M,45,7,01605,2070
F,50,12,21133,2071
F,18,4,13148,2072
M,18,4,48197,2073
F,25,4,13210,2074
M,18,4,13165,2075
M,18,0,55112,2076
M,18,4,13323,2077
M,1,10,45241,2078
M,25,11,37931,2079
M,18,17,49445,2080
M,1,19,48323,2081
M,18,4,64920,2082
M,18,4,23186,2083
M,18,0,06360,2084
M,35,14,48328,2085
M,25,0,37923-3112,2086
M,50,7,60618,2087
M,35,17,17601,2088
M,35,17,48313,2089
F,35,20,48044,2090
M,56,1,49006,2091
M,18,0,48322,2092
M,35,2,60061,2093
M,56,13,58504,2094
F,25,17,33990,2095
M,18,5,48504,2096
M,35,20,48067,2097
F,18,0,48823,2098
F,25,0,24017,2099
M,25,16,48309,2100
M,25,11,48825,2101
M,35,12,03062,2102
M,45,15,60035,2103
M,25,1,24060,2104
F,18,20,495321,2105
M,25,1,24060,2106
M,1,10,60462,2107
M,25,16,13090,2108
M,50,11,46802,2109
M,56,13,32806,2110
F,45,12,23116,2111
M,25,6,04456,2112
M,18,18,21740,2113
M,35,17,01519,2114
M,18,4,49546,2115
M,56,13,49307,2116
M,25,14,02148,2117
M,35,4,10036,2118
M,1,0,02780,2119
M,56,13,02356,2120
M,35,12,61614,2121
F,35,0,13064,2122
M,25,0,12306,2123
M,35,3,46033,2124
M,56,14,02632,2125
M,18,4,12309,2126
F,45,1,46737,2127
M,25,5,04103,2128
M,45,0,03060,2129
M,25,0,01701,2130
M,56,14,02632,2131
F,1,10,01607,2132
M,18,10,02780,2133
M,50,1,01778,2134
M,35,18,13027,2135
F,1,10,00681,2136
F,18,4,88119,2137
F,50,3,33615,2138
M,45,14,46804,2139
F,50,16,48706,2140
F,45,14,46804,2141
M,18,4,32607,2142
M,18,0,46517,2143
M,18,10,32750,2144
M,18,2,96002,2145
F,18,0,60641,2146
F,18,0,81301,2147
M,25,0,60089,2148
F,18,4,22904,2149
M,56,13,33316,2150
M,18,4,22807,2151
M,18,16,97405,2152
M,25,12,68508,2153
F,1,10,50246,2154
M,18,19,55912,2155
F,18,3,45244,2156
M,25,12,60618,2157
F,50,14,60618,2158
F,18,19,46556,2159
F,35,2,95521,2160
F,1,10,35810,2161
M,18,0,87122,2162
M,35,0,95826,2163
M,25,7,32836,2164
M,1,10,99203,2165
F,25,6,95833,2166
M,1,10,60202,2167
M,1,0,95451,2168
F,50,16,99114,2169
M,35,0,48103,2170
M,18,20,60641,2171
M,50,13,87502,2172
M,50,12,87505,2173
M,25,4,99217,2174
M,1,19,73505,2175
F,35,20,95451,2176
M,45,14,85251,2177
F,25,0,28304,2178
M,25,12,27713-9225,2179
M,25,0,45245,2180
F,25,4,60443,2181
F,56,1,11795,2182
M,18,4,45403,2183
M,45,17,27502,2184
M,18,5,41018,2185
M,45,16,60126,2186
F,18,19,60641,2187
M,1,10,60148,2188
F,25,15,27603,2189
M,18,4,45231,2190
F,25,0,27713,2191
M,1,10,41011,2192
M,25,17,45233,2193
M,1,10,60148,2194
M,25,12,45140,2195
F,25,1,27515,2196
F,35,9,46815,2197
M,1,10,60613,2198
M,35,1,60016,2199
M,56,20,46804,2200
F,1,10,11743,2201
M,45,12,53718,2202
M,56,3,94941,2203
F,25,7,10016,2204
M,45,7,11201,2205
M,18,4,07508,2206
M,25,0,10006,2207
M,35,7,10011,2208
M,45,17,88005-4313,2209
M,45,6,01950,2210
M,18,4,80521,2211
F,25,0,60622,2212
F,25,1,46807,2213
F,25,0,93940,2214
F,25,20,60612,2215
M,1,10,44906,2216
M,35,17,64153,2217
M,25,6,60060,2218
F,50,3,95451-9554,2219
M,56,17,94931,2220
F,45,1,13088,2221
M,25,2,60123,2222
M,25,12,60025,2223
M,25,5,96815,2224
F,25,7,27514,2225
M,50,14,60016,2226
M,25,12,60025,2227
M,45,0,61821,2228
F,45,1,60302,2229
M,50,11,85726,2230
M,25,14,60061,2231
F,35,3,60187,2232
M,56,1,85718,2233
M,1,10,46324,2234
M,1,10,96782,2235
F,35,6,14905,2236
F,25,4,32607,2237
M,18,10,60148,2238
M,45,12,64117,2239
M,45,5,60647,2240
M,18,4,60115,2241
M,45,2,86701,2242
M,1,10,60565,2243
M,1,10,60007,2244
M,25,0,60622,2245
M,45,2,60613,2246
F,35,12,46755,2247
M,25,5,60466,2248
M,18,19,60010,2249
M,35,14,60626,2250
F,18,1,01562,2251
F,50,0,46815,2252
M,35,5,33317,2253
F,35,6,44303,2254
F,45,15,59840,2255
F,18,4,59715,2256
F,18,4,10033,2257
F,56,16,70503,2258
F,25,20,46835,2259
M,25,5,33025,2260
M,45,17,48116,2261
M,25,6,70508,2262
F,45,7,37877,2263
M,56,13,60506,2264
F,50,2,48118,2265
F,56,13,37774,2266
F,35,1,46774,2267
F,45,0,11217,2268
M,18,1,14620,2269
M,50,14,13210,2270
M,25,0,71731,2271
M,25,6,23235,2272
M,18,2,31401,2273
M,56,7,39211,2274
M,56,13,44143,2275
F,45,9,13035,2276
M,50,17,01536,2277
M,50,7,08816,2278
M,56,6,74105,2279
M,45,11,48104,2280
M,50,2,32117,2281
M,35,18,44708,2282
M,25,20,90024,2283
F,1,10,13090,2284
M,35,17,82604,2285
M,56,0,06082,2286
M,1,10,13066,2287
F,50,1,52002,2288
M,25,0,61021,2289
M,45,1,13214,2290
M,50,15,13039,2291
F,56,3,48130,2292
M,56,13,48108,2293
M,45,11,72316,2294
F,25,6,22923,2295
M,56,13,52003,2296
M,35,17,77584,2297
F,18,10,13090,2298
M,56,13,49423,2299
F,25,12,02478,2300
M,50,12,48104,2301
M,50,17,08055,2302
M,45,12,94103,2303
M,50,20,48104,2304
F,18,4,02138,2305
M,25,17,02140,2306
F,45,16,48103,2307
F,45,0,08901,2308
M,45,12,48130,2309
F,25,4,22902,2310
M,45,0,13131,2311
F,50,6,48103-4711,2312
F,25,1,13210,2313
M,56,7,48114,2314
M,35,0,13207,2315
F,45,9,57108,2316
M,56,7,48114,2317
M,35,7,48104,2318
F,50,1,06043,2319
M,25,7,30115,2320
F,56,13,48105,2321
M,35,3,13088,2322
M,35,17,50321,2323
F,18,4,27708,2324
M,18,4,01040,2325
M,18,10,48169,2326
M,56,7,13212,2327
F,56,15,97367,2328
M,45,7,48103,2329
M,56,1,48104,2330
M,56,14,01545,2331
M,50,6,13035,2332
F,56,7,01562,2333
M,50,17,48197,2334
M,35,18,13146,2335
M,35,17,49424,2336
M,45,17,13152,2337
F,56,3,52003,2338
M,35,2,48104,2339
M,56,1,13210,2340
M,35,3,48107,2341
F,45,1,01604,2342
M,25,12,02139,2343
M,35,16,98031,2344
F,1,10,48105,2345
M,35,1,48116,2346
M,50,12,06082,2347
M,25,8,50309,2348
M,18,4,44312,2349
F,25,0,11106,2350
M,50,13,41076,2351
F,35,9,61270,2352
M,35,11,94306,2353
F,45,9,13203,2354
F,50,16,13207,2355
F,35,14,13316,2356
F,56,6,06074,2357
M,56,13,13685,2358
M,50,6,13210,2359
M,56,7,49423,2360
M,25,14,94110,2361
M,50,14,95823,2362
F,56,9,13078,2363
M,50,7,13203,2364
F,45,16,01532,2365
F,25,9,49424,2366
F,56,13,13057,2367
M,35,14,06040,2368
M,50,1,13215,2369
F,35,7,06082,2370
F,45,7,01602,2371
M,45,7,94109,2372
M,25,14,94404,2373
F,50,7,13027,2374
M,25,1,13210,2375
M,35,0,06108,2376
M,25,3,75150,2377
M,18,18,13045,2378
M,25,4,22903,2379
F,35,9,13066,2380
M,50,13,59715,2381
F,25,14,95125,2382
M,35,17,62034,2383
F,45,2,01545,2384
F,25,0,06040,2385
M,25,17,32224,2386
M,56,5,06082,2387
M,25,16,37922,2388
F,25,6,33076,2389
M,50,18,13126,2390
F,56,3,06040,2391
M,56,13,13123,2392
M,35,6,37923,2393
M,35,7,08021,2394
F,18,0,22102,2395
F,35,11,43201,2396
M,25,0,98122,2397
M,35,17,11355,2398
F,25,16,95687,2399
M,25,4,22901,2400
M,45,17,32024,2401
M,18,4,37743,2402
M,18,7,64055,2403
